employee_id,employee_code,first_name,last_name,role,shift,hire_date,is_active,created_at
1,EMP-001,Klara,Koczy,picker,morning,2023-05-03,True,2023-01-01
2,EMP-002,Mikołaj,Budzeń,picker,morning,2023-06-30,True,2023-01-01
3,EMP-003,Filip,Bojczuk,picker,night,2023-03-03,True,2023-01-01
4,EMP-004,Julian,Wincenciak,picker,afternoon,2023-03-14,True,2023-01-01
5,EMP-005,Malwina,Zugaj,picker,afternoon,2023-06-16,True,2023-01-01
6,EMP-006,Aurelia,Flisiak,picker,night,2023-04-03,True,2023-01-01
7,EMP-007,Krystian,Cop,picker,morning,2023-04-30,True,2023-01-01
8,EMP-008,Damian,Paw,picker,afternoon,2023-05-01,False,2023-01-01
9,EMP-009,Kacper,Ryszkiewicz,picker,afternoon,2023-04-05,True,2023-01-01
10,EMP-010,Krzysztof,Dziurla,picker,morning,2023-05-25,True,2023-01-01
11,EMP-011,Inga,Tylka,picker,afternoon,2023-01-05,True,2023-01-01
12,EMP-012,Mieszko,Korgul,picker,night,2023-05-30,True,2023-01-01
13,EMP-013,Kajetan,Drej,picker,morning,2023-03-17,True,2023-01-01
14,EMP-014,Łukasz,Siejak,picker,afternoon,2023-02-28,True,2023-01-01
15,EMP-015,Robert,Stoch,picker,afternoon,2023-03-04,True,2023-01-01
16,EMP-016,Adrian,Miąsko,picker,afternoon,2023-06-25,True,2023-01-01
17,EMP-017,Oskar,Chalimoniuk,picker,night,2023-05-06,True,2023-01-01
18,EMP-018,Przemysław,Maras,picker,afternoon,2023-05-06,True,2023-01-01
19,EMP-019,Emil,Kleban,picker,morning,2023-04-01,True,2023-01-01
20,EMP-020,Jędrzej,Dzienis,picker,afternoon,2023-05-20,True,2023-01-01
21,EMP-021,Leon,Molga,picker,night,2023-05-19,False,2023-01-01
22,EMP-022,Mieszko,Gołota,picker,morning,2023-05-15,True,2023-01-01
23,EMP-023,Nicole,Franczuk,picker,night,2023-01-20,True,2023-01-01
24,EMP-024,Paweł,Panuś,picker,afternoon,2023-01-02,True,2023-01-01
25,EMP-025,Olga,Dulas,picker,morning,2023-06-11,True,2023-01-01
26,EMP-026,Fabian,Kalarus,receiver,morning,2023-02-08,True,2023-01-01
27,EMP-027,Błażej,Hornik,receiver,afternoon,2023-04-27,True,2023-01-01
28,EMP-028,Michał,Kłysz,receiver,night,2023-06-13,False,2023-01-01
29,EMP-029,Arkadiusz,Gasek,receiver,night,2023-05-04,True,2023-01-01
30,EMP-030,Patryk,Golczyk,receiver,night,2023-01-02,True,2023-01-01
31,EMP-031,Maksymilian,Sabała,receiver,morning,2023-01-04,True,2023-01-01
32,EMP-032,Leon,Grabas,receiver,night,2023-03-12,False,2023-01-01
33,EMP-033,Maksymilian,Łodyga,receiver,night,2023-01-05,True,2023-01-01
34,EMP-034,Alex,Zbrożek,receiver,afternoon,2023-06-22,True,2023-01-01
35,EMP-035,Jacek,Duczmal,receiver,morning,2023-02-15,False,2023-01-01
36,EMP-036,Damian,Bok,packer,morning,2023-05-15,True,2023-01-01
37,EMP-037,Jerzy,Kiełek,packer,night,2023-06-08,True,2023-01-01
38,EMP-038,Gabriel,Księżak,packer,afternoon,2023-04-01,True,2023-01-01
39,EMP-039,Daniel,Portka,packer,afternoon,2023-01-21,False,2023-01-01
40,EMP-040,Piotr,Wywiał,packer,night,2023-04-28,True,2023-01-01
41,EMP-041,Cyprian,Pasich,packer,morning,2023-06-28,True,2023-01-01
42,EMP-042,Karol,Ostasz,packer,night,2023-01-21,False,2023-01-01
43,EMP-043,Tadeusz,Przewoźniak,packer,morning,2023-06-16,True,2023-01-01
44,EMP-044,Kalina,Babiuch,packer,afternoon,2023-04-08,True,2023-01-01
45,EMP-045,Janina,Pazik,packer,night,2023-01-15,True,2023-01-01
46,EMP-046,Dorota,Sobków,supervisor,morning,2023-02-13,True,2023-01-01
47,EMP-047,Artur,Nicewicz,supervisor,night,2023-04-22,True,2023-01-01
48,EMP-048,Witold,Duniec,supervisor,morning,2023-05-25,True,2023-01-01
49,EMP-049,Gaja,Skocz,supervisor,morning,2023-01-11,True,2023-01-01
50,EMP-050,Leon,Chorążewicz,supervisor,night,2023-06-27,True,2023-01-01
